order_id,date,month,quarter,product,category,unit_price_ugx,quantity,gross_revenue_ugx,discount_pct,discount_amount_ugx,net_revenue_ugx,cost_ugx,profit_ugx,profit_margin_pct,region,sales_rep,payment_method,channel,status,customer_type
ORD-1188,2/7/2024,February,Q1,Standing Desk,Furniture,890000,16,14240000,0,0,14240000,7556576,6683424,46.93,Entebbe,Sarah Nakato,Bank Transfer,Walk-in,Completed,Returning
ORD-1270,2/7/2024,February,Q1,Wireless Mouse,Electronics,45000,20,900000,0,0,900000,629560,270440,30.05,Kampala Central,James Ssempa,Airtel Money,WhatsApp,Completed,Returning
ORD-1268,2/8/2024,February,Q1,Laptop Pro 15,Electronics,1200000,4,4800000,5,240000,4560000,2678572,1881428,41.26,Mukono,Peter Mugisha,Flutterwave,Phone Order,Pending,Returning
ORD-1148,2/10/2024,February,Q1,Office Chair,Furniture,350000,14,4900000,10,490000,4410000,2940546,1469454,33.32,Entebbe,James Ssempa,Cash,Online,Completed,New
ORD-1169,2/11/2024,February,Q1,Ballpoint Pen Pack,Stationery,12000,17,204000,0,0,204000,114019,89981,44.11,Mukono,Sarah Nakato,MTN MoMo,Agent,Completed,Returning
ORD-1073,2/13/2024,February,Q1,HDMI Cable 2m,Electronics,25000,1,25000,10,2500,22500,18425,4075,18.11,Wakiso,Grace Nalwoga,Bank Transfer,WhatsApp,Refunded,New
ORD-1283,2/13/2024,February,Q1,Surge Protector,Electronics,65000,18,1170000,10,117000,1053000,771660,281340,26.72,Kampala Central,Sarah Nakato,Cash,Online,Refunded,New
ORD-1191,2/14/2024,February,Q1,Filing Cabinet,Furniture,310000,18,5580000,0,0,5580000,3643650,1936350,34.7,Kampala Central,James Ssempa,Bank Transfer,WhatsApp,Refunded,Returning
ORD-1363,2/15/2024,February,Q1,Notebook A4,Stationery,8000,6,48000,15,7200,40800,34620,6180,15.15,Gulu,Grace Nalwoga,Cash,WhatsApp,Completed,Returning
ORD-1114,2/16/2024,February,Q1,Laptop Pro 15,Electronics,1200000,19,22800000,0,0,22800000,15574433,7225567,31.69,Mukono,James Ssempa,Bank Transfer,Online,Completed,New
ORD-1264,2/18/2024,February,Q1,Printer Paper Ream,Stationery,18000,11,198000,10,19800,178200,147367,30833,17.3,Jinja,Brian Okello,Airtel Money,Online,Refunded,Returning
ORD-1004,2/19/2024,February,Q1,Office Chair,Furniture,350000,11,3850000,0,0,3850000,2014265,1835735,47.68,Mukono,James Ssempa,Flutterwave,Agent,Completed,Returning
ORD-1022,2/19/2024,February,Q1,Filing Cabinet,Furniture,310000,16,4960000,5,248000,4712000,2716096,1995904,42.36,Mbarara,Lydia Atim,Cash,WhatsApp,Pending,Returning
ORD-1242,2/21/2024,February,Q1,Filing Cabinet,Furniture,310000,1,310000,0,0,310000,170971,139029,44.85,Jinja,Brian Okello,Bank Transfer,Phone Order,Completed,New
ORD-1381,2/21/2024,February,Q1,Whiteboard 4x3,Furniture,220000,4,880000,0,0,880000,563788,316212,35.93,Gulu,James Ssempa,Flutterwave,Agent,Pending,Returning
ORD-1315,2/22/2024,February,Q1,Office Chair,Furniture,350000,13,4550000,0,0,4550000,3106233,1443767,31.73,Kampala Central,James Ssempa,Cash,Agent,Completed,Returning
ORD-1362,2/23/2024,February,Q1,Monitor 24inch,Electronics,750000,20,15000000,0,0,15000000,9898660,5101340,34.01,Entebbe,Sarah Nakato,Cash,Walk-in,Completed,Returning
ORD-1129,2/25/2024,February,Q1,Laptop Pro 15,Electronics,1200000,16,19200000,5,960000,18240000,11646112,6593888,36.15,Entebbe,Grace Nalwoga,Bank Transfer,Walk-in,Completed,Returning
ORD-1136,2/25/2024,February,Q1,Office Chair,Furniture,350000,5,1750000,15,262500,1487500,1085955,401545,26.99,Mukono,Peter Mugisha,Cash,Walk-in,Completed,Returning
ORD-1220,2/25/2024,February,Q1,Standing Desk,Furniture,890000,18,16020000,15,2403000,13617000,9097830,4519170,33.19,Jinja,Grace Nalwoga,Flutterwave,Online,Completed,New
ORD-1233,2/27/2024,February,Q1,Surge Protector,Electronics,65000,12,780000,0,0,780000,568860,211140,27.07,Kampala Central,Peter Mugisha,Flutterwave,Online,Refunded,Returning
ORD-1065,2/28/2024,February,Q1,USB-C Hub,Electronics,120000,8,960000,0,0,960000,593648,366352,38.16,Jinja,Sarah Nakato,Bank Transfer,Agent,Completed,New
ORD-1142,2/28/2024,February,Q1,Ballpoint Pen Pack,Stationery,12000,9,108000,0,0,108000,74376,33624,31.13,Mukono,Lydia Atim,MTN MoMo,Agent,Refunded,Returning
ORD-1326,2/29/2024,February,Q1,Laptop Pro 15,Electronics,1200000,8,9600000,0,0,9600000,7019104,2580896,26.88,Entebbe,Peter Mugisha,Flutterwave,Walk-in,Completed,New
ORD-1372,2/29/2024,February,Q1,USB-C Hub,Electronics,120000,10,1200000,0,0,1200000,742070,457930,38.16,Mukono,Lydia Atim,Bank Transfer,WhatsApp,Completed,New
ORD-1302,3/1/2024,March,Q1,Notebook A4,Stationery,8000,3,24000,5,1200,22800,17190,5610,24.61,Gulu,Sarah Nakato,Airtel Money,Phone Order,Completed,Returning
ORD-1117,3/4/2024,March,Q1,Filing Cabinet,Furniture,310000,13,4030000,0,0,4030000,2281435,1748565,43.39,Entebbe,James Ssempa,Cash,Phone Order,Pending,Returning
ORD-1167,3/4/2024,March,Q1,Monitor 24inch,Electronics,750000,4,3000000,15,450000,2550000,2134416,415584,16.3,Mukono,Brian Okello,Airtel Money,Agent,Pending,Returning
ORD-1079,3/5/2024,March,Q1,Laptop Pro 15,Electronics,1200000,2,2400000,10,240000,2160000,1375280,784720,36.33,Mbarara,Lydia Atim,MTN MoMo,Walk-in,Refunded,Returning
ORD-1160,3/6/2024,March,Q1,HDMI Cable 2m,Electronics,25000,13,325000,15,48750,276250,226811,49439,17.9,Mbarara,Grace Nalwoga,Flutterwave,Walk-in,Pending,Returning
ORD-1193,3/7/2024,March,Q1,USB-C Hub,Electronics,120000,18,2160000,15,324000,1836000,1397394,438606,23.89,Entebbe,Peter Mugisha,MTN MoMo,Walk-in,Refunded,New
ORD-1392,3/8/2024,March,Q1,HDMI Cable 2m,Electronics,25000,1,25000,15,3750,21250,12555,8695,40.92,Mbarara,Sarah Nakato,Flutterwave,Walk-in,Completed,Returning
ORD-1011,3/11/2024,March,Q1,Monitor 24inch,Electronics,750000,19,14250000,5,712500,13537500,8414606,5122894,37.84,Jinja,Lydia Atim,MTN MoMo,Walk-in,Completed,New
ORD-1166,3/11/2024,March,Q1,Ballpoint Pen Pack,Stationery,12000,6,72000,0,0,72000,50418,21582,29.98,Gulu,James Ssempa,MTN MoMo,WhatsApp,Completed,Returning
ORD-1116,3/13/2024,March,Q1,Filing Cabinet,Furniture,310000,4,1240000,5,62000,1178000,918496,259504,22.03,Gulu,Sarah Nakato,Bank Transfer,Phone Order,Completed,New
ORD-1306,3/13/2024,March,Q1,Mechanical Keyboard,Electronics,180000,8,1440000,15,216000,1224000,861368,362632,29.63,Jinja,Grace Nalwoga,Cash,WhatsApp,Pending,Returning
ORD-1316,3/14/2024,March,Q1,Filing Cabinet,Furniture,310000,5,1550000,15,232500,1317500,1159760,157740,11.97,Kampala Central,Peter Mugisha,Flutterwave,Walk-in,Refunded,New
ORD-1125,3/15/2024,March,Q1,Filing Cabinet,Furniture,310000,20,6200000,0,0,6200000,3529760,2670240,43.07,Wakiso,Peter Mugisha,Cash,Online,Completed,New
ORD-1377,3/16/2024,March,Q1,Filing Cabinet,Furniture,310000,19,5890000,15,883500,5006500,4392097,614403,12.27,Kampala Central,Lydia Atim,Airtel Money,Online,Completed,New
ORD-1171,3/17/2024,March,Q1,Monitor 24inch,Electronics,750000,3,2250000,0,0,2250000,1268955,981045,43.6,Jinja,Grace Nalwoga,Flutterwave,Phone Order,Pending,New
ORD-1057,3/18/2024,March,Q1,Notebook A4,Stationery,8000,11,88000,10,8800,79200,45771,33429,42.21,Wakiso,Lydia Atim,Airtel Money,Online,Completed,Returning
ORD-1081,3/18/2024,March,Q1,Wireless Mouse,Electronics,45000,19,855000,15,128250,726750,574218,152532,20.99,Wakiso,Peter Mugisha,Cash,Walk-in,Completed,New
ORD-1317,3/18/2024,March,Q1,Thermal Printer,Electronics,480000,12,5760000,15,864000,4896000,3186792,1709208,34.91,Entebbe,Peter Mugisha,Bank Transfer,Online,Completed,New
ORD-1150,3/19/2024,March,Q1,USB-C Hub,Electronics,120000,9,1080000,0,0,1080000,586836,493164,45.66,Gulu,Grace Nalwoga,MTN MoMo,Online,Pending,Returning
ORD-1103,3/20/2024,March,Q1,Laptop Pro 15,Electronics,1200000,5,6000000,5,300000,5700000,4306395,1393605,24.45,Kampala Central,Lydia Atim,Cash,Agent,Refunded,Returning
ORD-1241,3/20/2024,March,Q1,Mechanical Keyboard,Electronics,180000,8,1440000,0,0,1440000,885824,554176,38.48,Mukono,Sarah Nakato,MTN MoMo,Walk-in,Pending,Returning
ORD-1330,3/21/2024,March,Q1,Laptop Pro 15,Electronics,1200000,16,19200000,10,1920000,17280000,10401024,6878976,39.81,Mukono,Brian Okello,Flutterwave,Walk-in,Completed,Returning
ORD-1202,3/22/2024,March,Q1,Monitor 24inch,Electronics,750000,19,14250000,15,2137500,12112500,8239046,3873454,31.98,Entebbe,Peter Mugisha,Bank Transfer,WhatsApp,Completed,Returning
ORD-1015,3/23/2024,March,Q1,Whiteboard 4x3,Furniture,220000,7,1540000,0,0,1540000,913955,626045,40.65,Jinja,Peter Mugisha,MTN MoMo,Phone Order,Completed,Returning
ORD-1037,3/23/2024,March,Q1,Notebook A4,Stationery,8000,5,40000,15,6000,34000,29795,4205,12.37,Mbarara,Lydia Atim,Flutterwave,WhatsApp,Refunded,New
ORD-1066,3/24/2024,March,Q1,Whiteboard 4x3,Furniture,220000,20,4400000,15,660000,3740000,2990180,749820,20.05,Mukono,Brian Okello,Flutterwave,Walk-in,Completed,Returning
ORD-1341,3/25/2024,March,Q1,USB-C Hub,Electronics,120000,19,2280000,0,0,2280000,1228578,1051422,46.12,Entebbe,Lydia Atim,Cash,WhatsApp,Completed,Returning
ORD-1050,3/27/2024,March,Q1,Thermal Printer,Electronics,480000,7,3360000,10,336000,3024000,2077474,946526,31.3,Mbarara,Brian Okello,Cash,Phone Order,Refunded,Returning
ORD-1367,3/28/2024,March,Q1,Notebook A4,Stationery,8000,9,72000,0,0,72000,37332,34668,48.15,Entebbe,Sarah Nakato,MTN MoMo,Phone Order,Completed,Returning
ORD-1215,3/29/2024,March,Q1,Printer Paper Ream,Stationery,18000,16,288000,10,28800,259200,171120,88080,33.98,Entebbe,Peter Mugisha,Cash,Phone Order,Completed,Returning
ORD-1090,3/30/2024,March,Q1,Filing Cabinet,Furniture,310000,9,2790000,10,279000,2511000,1423053,1087947,43.33,Entebbe,Peter Mugisha,Bank Transfer,Agent,Completed,Returning
ORD-1333,4/1/2024,April,Q2,Wireless Mouse,Electronics,45000,17,765000,15,114750,650250,554982,95268,14.65,Wakiso,Peter Mugisha,MTN MoMo,WhatsApp,Completed,Returning
ORD-1163,4/2/2024,April,Q2,USB-C Hub,Electronics,120000,20,2400000,5,120000,2280000,1292540,987460,43.31,Gulu,Grace Nalwoga,Flutterwave,Online,Pending,New
ORD-1062,4/3/2024,April,Q2,Printer Paper Ream,Stationery,18000,14,252000,0,0,252000,180600,71400,28.33,Kampala Central,James Ssempa,Bank Transfer,Agent,Completed,Returning
ORD-1257,4/4/2024,April,Q2,USB-C Hub,Electronics,120000,5,600000,15,90000,510000,381980,128020,25.1,Jinja,Grace Nalwoga,MTN MoMo,Phone Order,Completed,New
ORD-1224,4/5/2024,April,Q2,Monitor 24inch,Electronics,750000,2,1500000,5,75000,1425000,1045484,379516,26.63,Mbarara,James Ssempa,MTN MoMo,Walk-in,Completed,Returning
ORD-1348,4/5/2024,April,Q2,Printer Paper Ream,Stationery,18000,14,252000,0,0,252000,148288,103712,41.16,Mukono,James Ssempa,Bank Transfer,Online,Completed,Returning
ORD-1355,4/6/2024,April,Q2,Whiteboard 4x3,Furniture,220000,19,4180000,0,0,4180000,2678430,1501570,35.92,Gulu,Lydia Atim,Flutterwave,Agent,Completed,Returning
ORD-1249,4/7/2024,April,Q2,Mechanical Keyboard,Electronics,180000,12,2160000,0,0,2160000,1369236,790764,36.61,Kampala Central,James Ssempa,Bank Transfer,Phone Order,Refunded,New
ORD-1261,4/8/2024,April,Q2,Wireless Mouse,Electronics,45000,4,180000,10,18000,162000,96700,65300,40.31,Jinja,Peter Mugisha,Cash,Agent,Completed,Returning
ORD-1051,4/11/2024,April,Q2,Wireless Mouse,Electronics,45000,8,360000,15,54000,306000,207936,98064,32.05,Wakiso,Brian Okello,MTN MoMo,Online,Pending,Returning
ORD-1067,4/11/2024,April,Q2,Printer Paper Ream,Stationery,18000,13,234000,5,11700,222300,172068,50232,22.6,Kampala Central,Peter Mugisha,Airtel Money,Walk-in,Completed,Returning
ORD-1086,4/11/2024,April,Q2,Filing Cabinet,Furniture,310000,19,5890000,15,883500,5006500,4128738,877762,17.53,Entebbe,Brian Okello,Flutterwave,Online,Completed,Returning
ORD-1303,4/15/2024,April,Q2,Printer Paper Ream,Stationery,18000,14,252000,0,0,252000,164808,87192,34.6,Gulu,Sarah Nakato,MTN MoMo,Phone Order,Completed,Returning
ORD-1007,4/17/2024,April,Q2,Printer Paper Ream,Stationery,18000,12,216000,0,0,216000,127980,88020,40.75,Mbarara,James Ssempa,MTN MoMo,Phone Order,Completed,Returning
ORD-1049,4/17/2024,April,Q2,Ballpoint Pen Pack,Stationery,12000,18,216000,0,0,216000,124398,91602,42.41,Entebbe,Peter Mugisha,Flutterwave,Agent,Pending,Returning
ORD-1018,4/18/2024,April,Q2,Standing Desk,Furniture,890000,17,15130000,10,1513000,13617000,9165516,4451484,32.69,Jinja,Grace Nalwoga,Airtel Money,Agent,Pending,Returning
ORD-1072,4/18/2024,April,Q2,Laptop Pro 15,Electronics,1200000,16,19200000,0,0,19200000,10472816,8727184,45.45,Mukono,James Ssempa,Cash,Agent,Refunded,Returning
ORD-1123,4/18/2024,April,Q2,Office Chair,Furniture,350000,4,1400000,5,70000,1330000,732084,597916,44.96,Mbarara,Grace Nalwoga,Flutterwave,Walk-in,Completed,Returning
ORD-1021,4/19/2024,April,Q2,HDMI Cable 2m,Electronics,25000,8,200000,0,0,200000,133448,66552,33.28,Jinja,Sarah Nakato,Flutterwave,Phone Order,Pending,New
ORD-1161,4/19/2024,April,Q2,Notebook A4,Stationery,8000,1,8000,0,0,8000,4617,3383,42.29,Mukono,Lydia Atim,Airtel Money,Online,Completed,New
ORD-1313,4/19/2024,April,Q2,Ballpoint Pen Pack,Stationery,12000,3,36000,15,5400,30600,18855,11745,38.38,Entebbe,Brian Okello,Airtel Money,Phone Order,Completed,Returning
ORD-1391,4/19/2024,April,Q2,Laptop Pro 15,Electronics,1200000,6,7200000,10,720000,6480000,5003694,1476306,22.78,Gulu,Sarah Nakato,Airtel Money,Online,Completed,Returning
ORD-1077,4/20/2024,April,Q2,Surge Protector,Electronics,65000,18,1170000,15,175500,994500,639144,355356,35.73,Mbarara,Lydia Atim,Cash,Phone Order,Refunded,Returning
ORD-1053,4/22/2024,April,Q2,USB-C Hub,Electronics,120000,1,120000,0,0,120000,83352,36648,30.54,Wakiso,Grace Nalwoga,Flutterwave,WhatsApp,Completed,Returning
ORD-1356,4/22/2024,April,Q2,Laptop Pro 15,Electronics,1200000,3,3600000,0,0,3600000,2009361,1590639,44.18,Kampala Central,Peter Mugisha,Bank Transfer,Walk-in,Completed,Returning
ORD-1168,4/23/2024,April,Q2,USB-C Hub,Electronics,120000,14,1680000,0,0,1680000,1237488,442512,26.34,Gulu,Lydia Atim,Cash,Walk-in,Pending,New
ORD-1254,4/23/2024,April,Q2,Notebook A4,Stationery,8000,14,112000,0,0,112000,71750,40250,35.94,Mbarara,Sarah Nakato,MTN MoMo,Agent,Refunded,Returning
ORD-1345,4/23/2024,April,Q2,Wireless Mouse,Electronics,45000,5,225000,0,0,225000,113170,111830,49.7,Wakiso,Sarah Nakato,Bank Transfer,Agent,Completed,Returning
ORD-1019,4/25/2024,April,Q2,Thermal Printer,Electronics,480000,17,8160000,5,408000,7752000,4326840,3425160,44.18,Kampala Central,James Ssempa,MTN MoMo,Phone Order,Refunded,New
ORD-1096,4/25/2024,April,Q2,HDMI Cable 2m,Electronics,25000,1,25000,10,2500,22500,15049,7451,33.12,Gulu,Brian Okello,Bank Transfer,Walk-in,Completed,Returning
ORD-1247,4/25/2024,April,Q2,Ballpoint Pen Pack,Stationery,12000,6,72000,10,7200,64800,44520,20280,31.3,Mukono,Grace Nalwoga,Airtel Money,WhatsApp,Completed,Returning
ORD-1299,4/25/2024,April,Q2,Laptop Pro 15,Electronics,1200000,8,9600000,0,0,9600000,4878464,4721536,49.18,Jinja,James Ssempa,Airtel Money,WhatsApp,Refunded,Returning
ORD-1366,4/25/2024,April,Q2,Filing Cabinet,Furniture,310000,19,5890000,15,883500,5006500,4061497,945003,18.88,Wakiso,Lydia Atim,MTN MoMo,Walk-in,Completed,New
ORD-1042,4/26/2024,April,Q2,Office Chair,Furniture,350000,7,2450000,5,122500,2327500,1439165,888335,38.17,Wakiso,Brian Okello,Airtel Money,WhatsApp,Completed,Returning
ORD-1223,4/28/2024,April,Q2,Printer Paper Ream,Stationery,18000,2,36000,0,0,36000,23870,12130,33.69,Jinja,Grace Nalwoga,MTN MoMo,Online,Pending,New
ORD-1002,4/29/2024,April,Q2,Ballpoint Pen Pack,Stationery,12000,2,24000,0,0,24000,12562,11438,47.66,Jinja,Peter Mugisha,MTN MoMo,Phone Order,Completed,Returning
ORD-1040,5/1/2024,May,Q2,Monitor 24inch,Electronics,750000,14,10500000,10,1050000,9450000,7217378,2232622,23.63,Gulu,Sarah Nakato,Airtel Money,WhatsApp,Completed,New
ORD-1126,5/1/2024,May,Q2,USB-C Hub,Electronics,120000,1,120000,0,0,120000,83699,36301,30.25,Jinja,James Ssempa,MTN MoMo,Online,Completed,New
ORD-1337,5/1/2024,May,Q2,Mechanical Keyboard,Electronics,180000,10,1800000,0,0,1800000,992330,807670,44.87,Entebbe,Lydia Atim,MTN MoMo,Online,Completed,New
ORD-1056,5/2/2024,May,Q2,Mechanical Keyboard,Electronics,180000,9,1620000,10,162000,1458000,1006254,451746,30.98,Mukono,Lydia Atim,MTN MoMo,Agent,Completed,Returning
ORD-1203,5/3/2024,May,Q2,Laptop Pro 15,Electronics,1200000,3,3600000,5,180000,3420000,2254899,1165101,34.07,Wakiso,Peter Mugisha,Cash,Walk-in,Completed,Returning
ORD-1281,5/3/2024,May,Q2,Printer Paper Ream,Stationery,18000,16,288000,0,0,288000,189600,98400,34.17,Mukono,Grace Nalwoga,Airtel Money,WhatsApp,Pending,New
ORD-1262,5/4/2024,May,Q2,Wireless Mouse,Electronics,45000,12,540000,5,27000,513000,331956,181044,35.29,Mbarara,Sarah Nakato,Cash,Walk-in,Completed,New
ORD-1289,5/4/2024,May,Q2,Printer Paper Ream,Stationery,18000,4,72000,15,10800,61200,50400,10800,17.65,Jinja,Sarah Nakato,Flutterwave,Online,Completed,Returning
ORD-1001,5/5/2024,May,Q2,Printer Paper Ream,Stationery,18000,4,72000,0,0,72000,49344,22656,31.47,Wakiso,Sarah Nakato,MTN MoMo,Phone Order,Completed,Returning
ORD-1010,5/6/2024,May,Q2,Monitor 24inch,Electronics,750000,15,11250000,0,0,11250000,6369975,4880025,43.38,Mbarara,Peter Mugisha,Flutterwave,Agent,Refunded,Returning
ORD-1232,5/6/2024,May,Q2,Filing Cabinet,Furniture,310000,18,5580000,15,837000,4743000,3941712,801288,16.89,Mbarara,Peter Mugisha,MTN MoMo,Phone Order,Pending,Returning
ORD-1041,5/7/2024,May,Q2,Surge Protector,Electronics,65000,11,715000,5,35750,679250,500896,178354,26.26,Mukono,Sarah Nakato,MTN MoMo,WhatsApp,Completed,Returning
ORD-1089,5/8/2024,May,Q2,Laptop Pro 15,Electronics,1200000,14,16800000,15,2520000,14280000,9753744,4526256,31.7,Kampala Central,Brian Okello,Airtel Money,Phone Order,Refunded,New
ORD-1364,5/11/2024,May,Q2,Office Chair,Furniture,350000,8,2800000,15,420000,2380000,1447456,932544,39.18,Gulu,Brian Okello,MTN MoMo,Walk-in,Pending,Returning
ORD-1390,5/12/2024,May,Q2,HDMI Cable 2m,Electronics,25000,12,300000,0,0,300000,162252,137748,45.92,Mbarara,Grace Nalwoga,MTN MoMo,Agent,Completed,Returning
ORD-1400,5/12/2024,May,Q2,Standing Desk,Furniture,890000,4,3560000,5,178000,3382000,1893868,1488132,44,Mbarara,Peter Mugisha,Airtel Money,Agent,Completed,New
ORD-1014,5/14/2024,May,Q2,USB-C Hub,Electronics,120000,15,1800000,0,0,1800000,1329210,470790,26.16,Jinja,Sarah Nakato,Flutterwave,Walk-in,Completed,Returning
ORD-1044,5/15/2024,May,Q2,Monitor 24inch,Electronics,750000,9,6750000,0,0,6750000,4354740,2395260,35.49,Kampala Central,Brian Okello,Flutterwave,WhatsApp,Completed,Returning
ORD-1342,5/15/2024,May,Q2,Notebook A4,Stationery,8000,7,56000,5,2800,53200,32312,20888,39.26,Gulu,Brian Okello,MTN MoMo,Online,Completed,Returning
